,name,online_order,rest_type,cuisines
1922,Calvin's,No,Dessert Parlor,"Desserts, Italian, Pizza"
2578,Krispy Kreme,Yes,Dessert Parlor,"Desserts, Beverages"
2661,Cakewala,Yes,Dessert Parlor,"Bakery, Desserts"
2662,The Belgian Waffle Co.,Yes,Dessert Parlor,"Desserts, Beverages"
2732,Ice Cream Works,Yes,Dessert Parlor,"Desserts, Ice Cream"
2751,Bubblewrap Waffle Co.,Yes,Dessert Parlor,"Desserts, Beverages"
2767,Ibaco,Yes,Dessert Parlor,Desserts
2836,Pop Hop,Yes,Dessert Parlor,"Ice Cream, Desserts"
2904,Ice Land,Yes,Dessert Parlor,"Ice Cream, Desserts"
3084,Mishra's Pedha Big Foods,No,Dessert Parlor,"Desserts, Mithai"
3111,Divina - Eden Park Restaurants,No,Dessert Parlor,Desserts
3184,Amma's Pastries,No,Dessert Parlor,Bakery
3223,Milano Ice Cream,No,Dessert Parlor,"Ice Cream, Desserts"
4074,Smoor,Yes,Dessert Parlor,"Desserts, Beverages"
4123,Pabrai's Fresh & Naturelle Icecreams,Yes,Dessert Parlor,"Ice Cream, Desserts"
4269,Kawaii,Yes,Dessert Parlor,"Desserts, Ice Cream"
4370,Cupcake Noggins,No,Dessert Parlor,"Desserts, Bakery"
4391,Butter Side Up,Yes,Dessert Parlor,"Desserts, Bakery"
4397,Mumbai Kulfi,Yes,Dessert Parlor,Ice Cream
4538,Hokey Pokey Ice Creams,No,Dessert Parlor,"Ice Cream, Desserts"
5153,Belgian Waffle Factory,Yes,Dessert Parlor,Desserts
5209,The Waffle Press,Yes,Dessert Parlor,"Desserts, Ice Cream"
5228,Cream Chemistry,Yes,Dessert Parlor,"Ice Cream, Desserts"
5278,Sweet Chariot,Yes,Dessert Parlor,"Bakery, Fast Food"
5292,99 Pancakes,Yes,Dessert Parlor,"Desserts, Ice Cream"
5336,Chocolate D'Luxe,Yes,Dessert Parlor,Desserts
5390,ZOROY Luxury Chocolate,Yes,Dessert Parlor,Desserts
5407,Brownie Heaven,Yes,Dessert Parlor,"Desserts, Fast Food"
5463,Gelato Italiano,Yes,Dessert Parlor,"Ice Cream, Bakery, Desserts"
5469,Troll,Yes,Dessert Parlor,"Desserts, Ice Cream"
397,Eurasia Pasta and Barbeque by Little Italy,Yes,"Casual Dining, Bar","Italian, Fast Food, Salad, BBQ"
471,Andhra Ruchulu,Yes,"Casual Dining, Bar","Andhra, Biryani, North Indian, Chinese"
1135,BANGALORE BOX,Yes,"Casual Dining, Bar","Asian, Continental, Finger Food"
1143,Chavadi,Yes,"Casual Dining, Bar","Continental, North Indian, Pizza, Italian"
1213,The Coastal Crew by Fujian on 24th,Yes,"Casual Dining, Bar","Chinese, Thai, Seafood, North Indian, Momos"
1249,Crumb Together,Yes,"Casual Dining, Bar","Continental, Finger Food, North Indian, Chinese"
1372,Nandhana Palace,No,"Casual Dining, Bar","Andhra, Biryani, North Indian, Chinese"
1502,Casa Piccosa,Yes,"Casual Dining, Bar","South American, Continental, Italian"
2241,Hakuna Matata,No,"Casual Dining, Bar","North Indian, Asian, Seafood, Chinese"
2296,Coconut Grove,No,"Casual Dining, Bar","South Indian, Chettinad, Kerala, Seafood"
3449,Once Upon a Rooftop,No,"Casual Dining, Bar","Pizza, Italian, Chinese, Thai"
3747,The Fisherman's Wharf,Yes,"Casual Dining, Bar","Seafood, Goan, North Indian, Continental, Asian"
3755,Punjabi Times,Yes,"Casual Dining, Bar",North Indian
3762,The Black Pearl,No,"Casual Dining, Bar","North Indian, European, Mediterranean, BBQ"
3925,Chili's American Grill & Bar,Yes,"Casual Dining, Bar","American, Tex-Mex, Burger, BBQ"
3945,Dhaba Estd 1986 Delhi,Yes,"Casual Dining, Bar",North Indian
3973,Float,Yes,"Casual Dining, Bar","North Indian, Japanese"
3999,Napoli Italian Bistro,Yes,"Casual Dining, Bar","Italian, Mexican, Continental, Pizza"
4087,Baithak,Yes,"Casual Dining, Bar","Continental, North Indian, Mughlai"
4236,Mishmash,Yes,"Casual Dining, Bar","Mediterranean, Continental, North Indian, Mughlai, Salad"
4585,BG's Poolside Bar & Grill,No,"Casual Dining, Bar","Mediterranean, Italian, Mexican"
4984,Oh! Calcutta,Yes,"Casual Dining, Bar","Bengali, Seafood"
4986,Mainland China,Yes,"Casual Dining, Bar","Chinese, Momos"
4994,The Spice Bazaar,No,"Casual Dining, Bar","North Indian, Mughlai"
4999,Puran da Dhaba - The Pride Hotel,Yes,"Casual Dining, Bar",North Indian
5003,Tiger Trail - Ramada Hotel,Yes,"Casual Dining, Bar","North Indian, Lucknowi"
5009,South Parade - The Chancery Hotel,No,"Casual Dining, Bar","North Indian, Continental, Chinese"
5284,Desi Deck,Yes,"Casual Dining, Bar","Mughlai, North Indian, Desserts"
5320,Carnival de Goa,Yes,"Casual Dining, Bar","Goan, Mangalorean, Pizza"
5325,The Open Box,Yes,"Casual Dining, Bar","European, North Indian, Mediterranean, Asian, Salad"
5346,20 Feet High,Yes,"Casual Dining, Bar","American, Continental, Steak, Salad"
5379,EatWater,Yes,"Casual Dining, Bar",North Eastern
5412,The Grill House,Yes,"Casual Dining, Bar","American, Mexican, Italian, Steak"
5495,MISU,Yes,"Casual Dining, Bar","Asian, Japanese, Korean, Indonesian, Malaysian, Singaporean"
5499,The Rice Bowl,Yes,"Casual Dining, Bar","Chinese, Momos"
5590,Sunny's,No,"Casual Dining, Bar","European, Italian, Seafood, Continental"
5598,Nandhini Paradise,No,"Casual Dining, Bar","Andhra, Chinese, North Indian"
5638,Fava,No,"Casual Dining, Bar","Healthy Food, Mediterranean, Desserts, Italian, Pizza, Salad, Kebab"
5946,The Permit Room,No,"Casual Dining, Bar",South Indian
6054,Hard Rock Cafe,No,"Casual Dining, Bar","American, BBQ"
6079,1Q1,No,"Casual Dining, Bar","Asian, Japanese, Thai, Malaysian, Vietnamese, Korean, Chinese"
6097,Tree Tops Bar & Kitchen,No,"Casual Dining, Bar","North Indian, Chinese, Continental, Italian"
6182,Matsuri - The Chancery Hotel,No,"Casual Dining, Bar",Japanese
6195,Fort Kochi,No,"Casual Dining, Bar","Kerala, Seafood"
6246,Atomic Lab,No,"Casual Dining, Bar","Asian, North Indian, Continental"
6270,Mighty Small,No,"Casual Dining, Bar","Continental, Chinese"
6271,White Plate,No,"Casual Dining, Bar","Thai, Continental, North Indian"
6306,Unicorn Bar & Restaurant,No,"Casual Dining, Bar","Seafood, North Indian, Chinese"
6744,Zaica Dine & Wine,Yes,"Casual Dining, Bar",North Indian
6747,Ji Hazoor,Yes,"Casual Dining, Bar","Mughlai, North Indian, Biryani, Afghan"
33,Ovenstory Pizza,Yes,Delivery,Pizza
35,Behrouz Biryani,Yes,Delivery,Biryani
45,Hotboxit,No,Delivery,"North Indian, Continental, Italian"
55,FreshMenu,Yes,Delivery,"Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger"
282,Mojo Pizza - 2X Toppings,Yes,Delivery,Pizza
314,Firangi Bake,Yes,Delivery,"Mexican, Italian"
937,Aniram's,Yes,Delivery,"Chinese, North Indian"
1058,Faasos,Yes,Delivery,"North Indian, Biryani, Fast Food"
1060,Mealer.in,Yes,Delivery,"North Indian, Biryani"
1093,Biryani Miya,Yes,Delivery,"Biryani, North Indian"
1107,Basmati Delights,Yes,Delivery,"Biryani, Chinese, Mughlai, Fast Food, Kebab"
1113,Matka,Yes,Delivery,"Biryani, North Indian"
1133,Calorie Express,Yes,Delivery,Healthy Food
1145,Cucumber Town,Yes,Delivery,"Kerala, North Indian"
1181,Rithika's Kitchen,Yes,Delivery,"Biryani, South Indian, Andhra"
1214,BIB - Breakfast in the Box,Yes,Delivery,"American, Sandwich"
1444,Dream a Dozen,Yes,Delivery,"Bakery, Desserts"
1446,Nite Out,Yes,Delivery,"North Indian, Chinese, Biryani"
1532,Mast Kalandar,No,Delivery,North Indian
1728,Owl's Kitchen,No,Delivery,"North Indian, Chinese"
1862,Sweet Truth,Yes,Delivery,"Bakery, Desserts"
3811,The Paratha Company,Yes,Delivery,North Indian
3812,nu.tree,Yes,Delivery,"North Indian, Healthy Food, Beverages"
3854,Shudh,Yes,Delivery,North Indian
3860,Potful,Yes,Delivery,"Biryani, Kebab, Rolls, Mughlai"
3864,DinePost9,Yes,Delivery,"North Indian, South Indian, Chinese, Continental"
3872,Maa Bhook Lagi,Yes,Delivery,North Indian
3891,Kya Khaoge,Yes,Delivery,"North Indian, Chinese"
3895,The Nosh House,Yes,Delivery,"American, Italian, Bakery, Desserts, Sandwich, Beverages, Salad, Rolls"
3916,Andhra Bhojanam,Yes,Delivery,Andhra
3956,Healthie,Yes,Delivery,"Healthy Food, Beverages"
3979,InnerChef,Yes,Delivery,"North Indian, Continental"
3985,Crunch Pizzas - Express Delivery,Yes,Delivery,Pizza
4083,Le Gateau - The Cake Shop,Yes,Delivery,"Desserts, Bakery"
4095,Fusion Tadka,Yes,Delivery,"North Indian, Chinese"
4099,NH-1,Yes,Delivery,North Indian
4270,B.M.W - Bhookh Mitaane Wala,Yes,Delivery,"North Indian, South Indian, Chinese"
4276,Lovely Knights,Yes,Delivery,"North Indian, Chinese"
4301,Bonfooder,Yes,Delivery,North Indian
4320,Eatsomnia,Yes,Delivery,"North Indian, South Indian, Chinese, Continental"
4350,Parathabox,No,Delivery,"Fast Food, North Indian"
4353,La-Pizza,Yes,Delivery,"Italian, Pizza, Burger"
5131,Warm Oven,Yes,Delivery,"Bakery, Desserts"
5183,Biryani Trip,Yes,Delivery,Biryani
5329,Foreign CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,Yes,Delivery,Continental
5363,Crunch Pizzas,Yes,Delivery,"Italian, Pizza"
5488,Deshi Fusion Pizza,Yes,Delivery,"Pizza, Chinese, Rolls"
5565,The Food Dude,Yes,Delivery,"Fast Food, Burger, Sandwich, Pizza"
5576,Kick Out the Jams,Yes,Delivery,"Burger, American, Italian"
5586,Midnight Hunger Solutions 24/7,Yes,Delivery,"North Indian, Mughlai, Chinese"
95,Vi Ra's Bar and Restaurant,No,Bar,"South Indian, North Indian, Chinese"
146,Darbar,No,Bar,"North Indian, Chinese"
2249,55 Wall Street,No,Bar,"Finger Food, North Indian, Chinese"
2818,Mockaholic Restro Beer Cafe,Yes,Bar,"North Indian, Chinese, Pizza, BBQ"
3310,Beetle Juice Bar - Springs Hotel & Spa,No,Bar,Finger Food
3753,Sharaab Factory,Yes,Bar,"Biryani, North Indian"
5575,Retro Lounge Bar,No,Bar,"North Indian, Chinese"
6160,Chin Lung Resto Bar,No,Bar,"North Indian, Chinese, Fast Food"
6170,Fuel Resto Bar,No,Bar,"Finger Food, Mediterranean, North Indian"
6205,Scottish Pub,No,Bar,Finger Food
6242,Strikers Sports Bar and Music,No,Bar,"Continental, North Indian, Chinese"
7915,Pablo's Gastrobar,No,Bar,"Finger Food, American, Asian, Italian"
9110,Pecos Hideout,No,Bar,Finger Food
9374,Fill N Chill Resto Bar & Pub,Yes,Bar,"Finger Food, North Indian, Chinese"
9422,Crawl Street,Yes,Bar,"Continental, Finger Food, North Indian, Chinese"
9769,Banana Beach Bar,Yes,Bar,"Continental, Chinese"
9935,House Of Commons,No,Bar,"Continental, Asian, North Indian"
10954,Sathya's,No,Bar,"North Indian, Chinese"
11074,Fandom at Gilly's Redefined,No,Bar,Finger Food
11151,Barcode,No,Bar,"South Indian, North Indian"
13670,Cedar Bar & Dive - Hotel Presidency,Yes,Bar,"North Indian, Thai, Chinese, Continental"
14057,Queens,No,Bar,"North Indian, Continental, British"
14087,The Chameleon,No,Bar,Finger Food
14119,Aura - Radha Regent,No,Bar,"Continental, American, South Indian, Italian, North Indian, Chinese"
14135,Z-Bar,No,Bar,"Finger Food, North Indian"
15799,The Hub - Ibis Hotel,No,Bar,"Finger Food, Fast Food"
18719,Wall Street 657,No,Bar,"Finger Food, Continental"
18728,Agent Jack's Bar,No,Bar,"Continental, North Indian, Italian"
18742,Elongo's,No,Bar,"Finger Food, South Indian, Continental"
18770,Jimi's Beer Cafe,No,Bar,"American, North Indian, Chinese"
19016,Quench Bar,No,Bar,"Seafood, Mexican, Continental, Finger Food"
19122,CloudNYN - Sterling Mac Hotel,No,Bar,Finger Food
19311,Jeff's - Royal Orchid Hotel,No,Bar,"Chinese, Continental"
24029,One For The Road,Yes,Bar,"Continental, North Indian, Finger Food"
24557,Bottoms Up Resto Bar,Yes,Bar,"Finger Food, Italian, Continental"
25035,The Sky Lounge - Tamarind Hospitality,No,Bar,"North Indian, South Indian, Chinese, Continental"
26204,Knowhere,No,Bar,"Continental, Finger Food"
28422,The Old Fashioned Bar,No,Bar,"Finger Food, North Indian, Continental"
28951,KLINX - Hilton Bangalore Embassy GolfLinks,No,Bar,"European, Asian"
37167,Head's Or Tail's,No,Bar,"Finger Food, North Indian, Chinese"
38037,Le Rock,Yes,Bar,"Continental, Chinese"
40133,White Horse,No,Bar,"Finger Food, Chinese, North Indian"
40285,Dublin - ITC Windsor,No,Bar,European
40670,Xtreme Sports Bar,No,Bar,"Continental, North Indian, Chinese, Lebanese"
41538,BiereKraft,No,Bar,"Continental, North Indian, Asian"
41614,Chiller's Nation - Iris Inn,No,Bar,"North Indian, Continental, Italian"
44232,Black Jack,No,Bar,"North Indian, Chinese"
51607,Chime - Sheraton Grand Bengaluru Whitefield Hotel &...,No,Bar,Finger Food
2245,Three Dots & A Dash,No,"Bar, Casual Dining","European, Continental"
3750,Tipsy Bull - The Bar Exchange,Yes,"Bar, Casual Dining","North Indian, Chinese, Continental, Mexican"
3768,Opus Food Stories,No,"Bar, Casual Dining","Goan, Asian, North Indian, European, Continental"
3906,Sarjapur Social,Yes,"Bar, Casual Dining","American, North Indian, Chinese, Finger Food"
5201,Laughing Llama Gastropub,Yes,"Bar, Casual Dining","Finger Food, Continental, Pizza"
5326,Double Decker,No,"Bar, Casual Dining","Continental, North Indian"
5441,Ging - Royal Orchid Central,Yes,"Bar, Casual Dining",Asian
5498,RockSalt,Yes,"Bar, Casual Dining",Modern Indian
5547,BabaYaga's,Yes,"Bar, Casual Dining","American, Finger Food"
5642,ThrowBack - Pub & Dine,No,"Bar, Casual Dining","Italian, North Indian, Continental"
5643,Shaken & Stirred,Yes,"Bar, Casual Dining","Continental, North Indian, Chinese"
6091,Sotally Tober,No,"Bar, Casual Dining","Asian, Burger, Chinese, Finger Food"
6111,Easy Tiger,No,"Bar, Casual Dining","Finger Food, Continental"
6113,Capri Gastrobar,No,"Bar, Casual Dining","Mediterranean, Italian, Asian"
7026,Sidewalk - The Garden Bar,Yes,"Bar, Casual Dining","North Indian, Continental, Chinese, Thai"
7426,Izakaya Gastro Pub,Yes,"Bar, Casual Dining","North Indian, Continental, Mediterranean"
7912,Amber Rush by The Pool,No,"Bar, Casual Dining","North Indian, Chinese, Continental"
10873,The Reservoire,No,"Bar, Casual Dining","Continental, North Indian, Chinese, American, Pizza, Finger Food"
10877,Fenny's Lounge And Kitchen,No,"Bar, Casual Dining","Mediterranean, Pizza, Continental, Seafood, Salad"
